Dataset,Modelo,Accuracy,Precision,Recall,F1-Score
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Árboles de Decisión,0.5773584905660377,0.5045519156454729,0.5011458556436068,0.5011742799747715
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Árboles de Decisión,0.3977653631284916,0.2077562124292757,0.2738461538461538,0.2023486383822369
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Árboles de Decisión,0.8244766505636071,0.8175992007300725,0.8257734833376783,0.8195364970132497
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Árboles de Decisión,0.8225524475524476,0.81734210927875,0.8242970920015873,0.8182139009431098
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Árboles de Decisión,0.5726415094339623,0.5004530926067506,0.497591333562542,0.4977246483791951
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Árboles de Decisión,0.5839874411302983,0.6657944219110836,0.5068118466898954,0.5042886586452763
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Árboles de Decisión,0.8239398819108964,0.8172687421242948,0.8252128182082448,0.8192288182576145
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Árboles de Decisión,0.8216783216783217,0.816417718670341,0.823391294900138,0.8173507480700422
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,KNN,0.5679245283018868,0.4956277800173083,0.440664850845254,0.4451410877193409
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,KNN,0.3720316622691293,0.2389427623653011,0.2368045254556882,0.2359840974116707
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,KNN,0.7917337627482555,0.7901244649142558,0.7940682851886299,0.7808360917535828
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,KNN,0.7770979020979021,0.7722495086214598,0.7791191920337094,0.7664051098803102
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,KNN,0.6641509433962264,0.6471126692537172,0.5638938683853562,0.5796138033659299
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,KNN,0.6530612244897959,0.4951060098836283,0.4993588850174216,0.497025047368935
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,KNN,0.8180354267310789,0.8128973517027005,0.8201223148796783,0.8095109126373019
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,KNN,0.8225524475524476,0.8231409843849948,0.8245337565897625,0.8137457698277442
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,SVM,0.589622641509434,0.7061384312990143,0.4357083323939534,0.446846585617772
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,SVM,0.4538258575197889,0.2055187289562289,0.2511046511627907,0.1885538341234544
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,SVM,0.6183574879227053,0.6063197316705562,0.6209242005558225,0.6098802001691859
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,SVM,0.6730769230769231,0.6588638636670917,0.676354136453029,0.6588112952433707
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,SVM,0.589622641509434,0.7061384312990143,0.4357083323939534,0.446846585617772
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,SVM,0.5871271585557299,0.4933598580701405,0.4008536585365854,0.4048074029579514
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,SVM,0.6183574879227053,0.6063197316705562,0.6209242005558225,0.6098802001691859
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,SVM,0.6730769230769231,0.6588638636670917,0.676354136453029,0.6588112952433707
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Redes Neuronales,0.5971698113207548,0.7151317455733043,0.4424179404658573,0.453445991059366
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Redes Neuronales,0.4564643799472295,0.2524024024024024,0.2541860465116279,0.1736382662334086
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Redes Neuronales,0.5711218464841653,0.5570962744324525,0.5744708355537144,0.5578808635457095
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Redes Neuronales,0.6031468531468531,0.5897618514427856,0.6062790214705265,0.5882751886102829
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Redes Neuronales,0.5858490566037736,0.6934220755047519,0.4591392485148403,0.451760342727956
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Redes Neuronales,0.543171114599686,0.4412194076667761,0.3826852497096399,0.3848842989380503
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Redes Neuronales,0.5652173913043478,0.5478970093156459,0.5686856551930926,0.5493582176849254
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Redes Neuronales,0.5909090909090909,0.5713699554942399,0.5931087062722029,0.5682110675279187
